Depth,Year,Site,Frequency
10,2020,Harrison Cove,36.70731707
20,2020,Harrison Cove,48.29268293
30,2020,Harrison Cove,9.341463415
40,2020,Harrison Cove,2.170731707
50,2020,Harrison Cove,0.780487805
60,2020,Harrison Cove,0.536585366
70,2020,Harrison Cove,0.146341463
80,2020,Harrison Cove,0.170731707
90,2020,Harrison Cove,0.146341463
100,2020,Harrison Cove,1.707317073
10,2020,Moraine,26.7817194
20,2020,Moraine,24.83221477
30,2020,Moraine,8.405241291
40,2020,Moraine,5.177372963
50,2020,Moraine,3.739213806
60,2020,Moraine,4.026845638
70,2020,Moraine,5.720677533
80,2020,Moraine,6.072227549
90,2020,Moraine,7.44646852
100,2020,Moraine,7.798018536
